Mateo,Reyes,mateo.reyes@mail.com,+56990123456,Av. Providencia 120
Isabella,Morales,isabella.morales@mail.com,+56901234567,Calle del Sol 45
Santiago,Acosta,santiago.acosta@mail.com,+56911223344,Boulevard Central 789
Gabriela,Herrera,gabriela.herrera@mail.com,+56922334455,Callejon del Rio 321
Nicolás,Medina,nicolas.medina@mail.com,+56933445566,Plaza Mayor 654
Javiera,Rojas,javiera.rojas@mail.com,+56944556677,Camino Real 987
Tomás,Silva,tomas.silva@mail.com,+56955667788,Paseo del Parque 147
Florencia,Contreras,florencia.contreras@mail.com,+56966778899,Av. Costanera 258
Benjamín,Navarro,benjamin.navarro@mail.com,+56977889900,Calle Larga 369
Emilia,Paredes,emilia.paredes@mail.com,+56988990011,Los Alerces 480
Sebastián,Cabrera,sebastian.cabrera@mail.com,+56999001122,Av. del Valle 591
Catalina,Campos,catalina.campos@mail.com,+56900112233,Pasaje Los Olivos 602
